type,name,steam_appid,developers,publishers,header_image,website,categories,genres,steam_url,detection_stage,api_response_type,discovery_date
game,Psycutlery,3577630,Luke Tarlowe, FreakZone Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3577630/1dfd78e82308fd76a05400ab9737aba0ca2477b8/header.jpg?t=1751760088,http://www.eyesineverything.com/,Single-player;Steam Achievements;Full controller support;Camera Comfort;Color Alternatives;Custom Volume Controls;Adjustable Difficulty;Keyboard Only Option;Playable without Timed Input;Save Anytime;Steam Cloud,Action;Adventure;Casual;Indie;Free To Play,https://store.steampowered.com/app/3577630,public_unreleased,full_details,2025-07-06
game,KUUKIYOMI: Consider It World - Thailand Ver.,3606690,Urnique Studio,G-MODE,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3606690/c3d6022ad02e84c5ec3b4fd6256aefd21fc50d11/header.jpg?t=1751814107,,Single-player;Steam Achievements;Keyboard Only Option;Partial Controller Support;Steam Cloud;Family Sharing,Casual;Indie;Simulation,https://store.steampowered.com/app/3606690,public_unreleased,full_details,2025-07-06
demo,Proxima B Demo,3849640,Zap Coders,Zap Coders,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3849640/fc30d7927e724bdc0923d14b96d0d609b6d26fdd/header.jpg?t=1751806792,,Single-player;Game demo;Full controller support;Captions available;Keyboard Only Option;Narrated Game Menus;Save Anytime;Stereo Sound;Subtitle Options;Steam Cloud;Remote Play Together,,https://store.steampowered.com/app/3849640,public_unreleased,full_details,2025-07-06
game,Marble Drop,3852330,Nathan Beveridge;Mark Maxwell,BevMaxGames,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3852330/9e6ad2a9389c82c25a3f0b9bfaf9425c61b6bfce/header.jpg?t=1751747263,,Single-player;Family Sharing,Indie,https://store.steampowered.com/app/3852330,public_unreleased,full_details,2025-07-06
game,Unhomely,2941990,Studio 8-Track,Studio 8-Track,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2941990/header.jpg?t=1751806513,https://unhomely.com,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Family Sharing,Indie,https://store.steampowered.com/app/2941990,public_unreleased,full_details,2025-07-06
game,Cozy Farm Manager,3820590,FifthLightInteractive,FifthLightInteractive,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3820590/d16263aa2ab23869757d76fb196aa5f893fd9153/header.jpg?t=1751807852,,Single-player;Full controller support;Camera Comfort;Color Alternatives;Custom Volume Controls;Keyboard Only Option;Playable without Timed Input;Stereo Sound;Family Sharing,Casual;Indie;Simulation;Strategy,https://store.steampowered.com/app/3820590,public_unreleased,full_details,2025-07-06
game,C.U.T.S,3857070,Redsroll,Redsroll,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3857070/18146ee18a79b7ea726d799d073e0e04021c1f6a/header.jpg?t=1751730896,,Single-player;Steam Achievements;Family Sharing,Indie;Simulation,https://store.steampowered.com/app/3857070,public_unreleased,full_details,2025-07-06
demo,How to Make an Atomic Bomb in Your Garden Demo,3761970,karahan,karahan,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3761970/4e462b7c94f6d95af181ed76e2f0e301a46fb06f/header.jpg?t=1751734010,,Single-player;Game demo;Camera Comfort;Playable without Timed Input;Stereo Sound;Surround Sound,,https://store.steampowered.com/app/3761970,public_unreleased,full_details,2025-07-06
game,Stories of Somnia,3635640,Lydian Games,Lydian Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3635640/59a6b54f5434904ea81f3a6766ee6fc26b5aee8d/header.jpg?t=1751798075,https://lydiangames.net,Single-player;Full controller support;Custom Volume Controls;Stereo Sound;Family Sharing,Action;Adventure;Indie;RPG,https://store.steampowered.com/app/3635640,public_unreleased,full_details,2025-07-06
demo,Hand of Hexes Demo,3667900,emmdieh,emmdieh,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3667900/78b65899429ec23070eae7b6eae0749e511f3c49/header.jpg?t=1751786826,,Single-player;Game demo;Camera Comfort;Custom Volume Controls;Adjustable Difficulty;Mouse Only Option;Stereo Sound;Subtitle Options;Touch Only Option,Action;Casual;Strategy,https://store.steampowered.com/app/3667900,public_unreleased,full_details,2025-07-06
game,I want to run away from my goth mommy... or do I?,3759680,Bondage Orange,Nova B12,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3759680/04ae1f972e10ec552a83a6bd6aaee4ea1ec74285/header.jpg?t=1751824339,,Single-player;Steam Achievements;Family Sharing,Casual;Indie,https://store.steampowered.com/app/3759680,public_unreleased,full_details,2025-07-06
game,Farm of the unseen,3845950,David Aguirre Molins,Allevoy games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3845950/e31b0aa37e6ab742e5f37dd4d941c4f112f29d1b/header.jpg?t=1751747668,,Single-player;Full controller support;Family Sharing,Action,https://store.steampowered.com/app/3845950,public_unreleased,full_details,2025-07-06
